,date,volume
8689,2021-11-04 22:01:26+00:00,20
8688,2021-11-04 22:01:37+00:00,14
8687,2021-11-04 22:01:44+00:00,14
8686,2021-11-04 22:01:45+00:00,15
8685,2021-11-04 22:01:46+00:00,16
8684,2021-11-04 22:01:48+00:00,17
8683,2021-11-04 22:01:49+00:00,19
8682,2021-11-04 22:01:51+00:00,20
8681,2021-11-04 22:01:52+00:00,21
8680,2021-11-04 22:01:58+00:00,20
8679,2021-11-04 22:01:59+00:00,20
8678,2021-11-04 22:02:03+00:00,22
8677,2021-11-04 22:02:05+00:00,22
8676,2021-11-04 22:02:08+00:00,23
8675,2021-11-04 22:02:14+00:00,21
8674,2021-11-04 22:02:16+00:00,23
8673,2021-11-04 22:02:23+00:00,22
8672,2021-11-04 22:02:26+00:00,23
8671,2021-11-04 22:02:28+00:00,22
8670,2021-11-04 22:02:29+00:00,23
8669,2021-11-04 22:02:30+00:00,24
8668,2021-11-04 22:02:34+00:00,25
8667,2021-11-04 22:02:40+00:00,26
8666,2021-11-04 22:02:41+00:00,27
8665,2021-11-04 22:02:43+00:00,28
8664,2021-11-04 22:02:48+00:00,26
8663,2021-11-04 22:02:49+00:00,25
8662,2021-11-04 22:02:50+00:00,25
8661,2021-11-04 22:02:55+00:00,24
8660,2021-11-04 22:02:57+00:00,25
8659,2021-11-04 22:03:00+00:00,23
8658,2021-11-04 22:03:01+00:00,24
8657,2021-11-04 22:03:02+00:00,25
8656,2021-11-04 22:03:06+00:00,24
8655,2021-11-04 22:03:10+00:00,25
8654,2021-11-04 22:03:11+00:00,26
8653,2021-11-04 22:03:15+00:00,25
8652,2021-11-04 22:03:16+00:00,27
8651,2021-11-04 22:03:20+00:00,27
8650,2021-11-04 22:03:22+00:00,28
8649,2021-11-04 22:03:30+00:00,25
8648,2021-11-04 22:03:32+00:00,25
8647,2021-11-04 22:03:33+00:00,27
8646,2021-11-04 22:03:42+00:00,23
8645,2021-11-04 22:03:45+00:00,24
8644,2021-11-04 22:03:50+00:00,23
8643,2021-11-04 22:04:03+00:00,18
8642,2021-11-04 22:04:05+00:00,19
8641,2021-11-04 22:04:07+00:00,18
8640,2021-11-04 22:04:16+00:00,16
8639,2021-11-04 22:04:27+00:00,13
8638,2021-11-04 22:04:28+00:00,15
8637,2021-11-04 22:04:32+00:00,17
8636,2021-11-04 22:04:33+00:00,16
8635,2021-11-04 22:04:39+00:00,16
8634,2021-11-04 22:04:41+00:00,17
8633,2021-11-04 22:04:42+00:00,18
8632,2021-11-04 22:04:44+00:00,17
8631,2021-11-04 22:04:52+00:00,16
8630,2021-11-04 22:04:55+00:00,17
8629,2021-11-04 22:05:00+00:00,18
8628,2021-11-04 22:05:02+00:00,19
8627,2021-11-04 22:05:04+00:00,19
8626,2021-11-04 22:05:13+00:00,18
8625,2021-11-04 22:05:16+00:00,19
8624,2021-11-04 22:05:17+00:00,19
8623,2021-11-04 22:05:23+00:00,20
8622,2021-11-04 22:05:28+00:00,19
8621,2021-11-04 22:05:30+00:00,17
8620,2021-11-04 22:05:31+00:00,18
8619,2021-11-04 22:05:32+00:00,19
8618,2021-11-04 22:05:41+00:00,17
8617,2021-11-04 22:05:43+00:00,18
8616,2021-11-04 22:05:45+00:00,18
8615,2021-11-04 22:05:53+00:00,18
8614,2021-11-04 22:06:00+00:00,19
8613,2021-11-04 22:06:01+00:00,19
8612,2021-11-04 22:06:05+00:00,18
8611,2021-11-04 22:06:06+00:00,19
8610,2021-11-04 22:06:13+00:00,21
8609,2021-11-04 22:06:15+00:00,21
8608,2021-11-04 22:06:16+00:00,22
8607,2021-11-04 22:06:18+00:00,21
8606,2021-11-04 22:06:20+00:00,22
8605,2021-11-04 22:06:22+00:00,23
8604,2021-11-04 22:06:24+00:00,23
8603,2021-11-04 22:06:31+00:00,23
8602,2021-11-04 22:06:35+00:00,22
8601,2021-11-04 22:06:49+00:00,18
8600,2021-11-04 22:06:52+00:00,19
8599,2021-11-04 22:06:54+00:00,18
8598,2021-11-04 22:07:01+00:00,19
8597,2021-11-04 22:07:02+00:00,20
8596,2021-11-04 22:07:06+00:00,20
8595,2021-11-04 22:07:13+00:00,19
8594,2021-11-04 22:07:19+00:00,16
8593,2021-11-04 22:07:29+00:00,13
8592,2021-11-04 22:07:32+00:00,13
8591,2021-11-04 22:07:36+00:00,13
8590,2021-11-04 22:07:37+00:00,14
8589,2021-11-04 22:07:44+00:00,15
8588,2021-11-04 22:07:45+00:00,16
8587,2021-11-04 22:07:46+00:00,17
8586,2021-11-04 22:07:50+00:00,17
8585,2021-11-04 22:07:53+00:00,17
8584,2021-11-04 22:07:57+00:00,16
8583,2021-11-04 22:07:58+00:00,18
8582,2021-11-04 22:08:11+00:00,15
8581,2021-11-04 22:08:33+00:00,12
8580,2021-11-04 22:08:35+00:00,13
8579,2021-11-04 22:08:36+00:00,16
8578,2021-11-04 22:08:37+00:00,16
8577,2021-11-04 22:08:38+00:00,16
8576,2021-11-04 22:08:41+00:00,17
8575,2021-11-04 22:08:44+00:00,18
8574,2021-11-04 22:08:46+00:00,17
8573,2021-11-04 22:08:47+00:00,17
8572,2021-11-04 22:08:48+00:00,18
8571,2021-11-04 22:08:49+00:00,20
8570,2021-11-04 22:08:50+00:00,21
8569,2021-11-04 22:08:51+00:00,21
8568,2021-11-04 22:08:57+00:00,21
8567,2021-11-04 22:08:59+00:00,19
8566,2021-11-04 22:09:13+00:00,21
8565,2021-11-04 22:09:14+00:00,22
8564,2021-11-04 22:09:22+00:00,23
8563,2021-11-04 22:09:23+00:00,24
8562,2021-11-04 22:09:27+00:00,25
8561,2021-11-04 22:09:31+00:00,27
8560,2021-11-04 22:09:34+00:00,27
8559,2021-11-04 22:09:39+00:00,22
8558,2021-11-04 22:09:40+00:00,23
8557,2021-11-04 22:09:45+00:00,22
8556,2021-11-04 22:09:46+00:00,23
8555,2021-11-04 22:09:48+00:00,22
8554,2021-11-04 22:09:50+00:00,20
8553,2021-11-04 22:09:54+00:00,19
8552,2021-11-04 22:09:55+00:00,22
8551,2021-11-04 22:10:00+00:00,21
8550,2021-11-04 22:10:07+00:00,22
8549,2021-11-04 22:10:18+00:00,19
8548,2021-11-04 22:10:22+00:00,20
8547,2021-11-04 22:10:26+00:00,20
8546,2021-11-04 22:10:27+00:00,21
8545,2021-11-04 22:10:30+00:00,20
8544,2021-11-04 22:10:32+00:00,20
8543,2021-11-04 22:10:36+00:00,20
8542,2021-11-04 22:10:40+00:00,22
8541,2021-11-04 22:10:43+00:00,22
8540,2021-11-04 22:10:51+00:00,19
8539,2021-11-04 22:10:58+00:00,16
8538,2021-11-04 22:11:01+00:00,16
8537,2021-11-04 22:11:05+00:00,18
8536,2021-11-04 22:11:08+00:00,18
