tweet_created_at,tweet_id,tweet_text,tweet_source,tweet_retweet_count,tweet_favorite_count,tweet_created_date
2021-10-31 11:32:05+00:00,1.45E+18,"I got four #AnimalCrossing villagers doing some cosplay to show everyone around the world, and just in time for Hal… https://t.co/HzU5lWr3Dn",Twitter Web App,8,18,10/31/2021
2021-10-31 03:33:14+00:00,1.45E+18,"🎃Happy Halloween🎃
#ポケ森 #ポケ森写真部 
#ポケ森レイアウト #acpc  
#AnimalCrossing #halloween2021 https://t.co/NUWoX1Oepq",Twitter for iPhone,8,86,10/31/2021
2021-11-05 19:00:28+00:00,1.46E+18,Plenty of thought goes into working with new designs.  Especially if you want to create your own paradise.… https://t.co/NORG7K5xpb,Twitter Web App,8,21,11/5/2021
2021-11-04 16:37:13+00:00,1.46E+18,I've done it. I have defeated the sea bass. #AnimalCrossing #ACNH #NintendoSwitch https://t.co/XBdgkiwYCm,Nintendo Switch Share,8,51,11/4/2021
2021-10-30 15:31:22+00:00,1.45E+18,"Today's my Birthday, thank you to my villagers for giving me a great surprise Birthday party for the memories on Me… https://t.co/OhALMcLioZ",Nintendo Switch Share,8,59,10/30/2021
2021-10-31 18:20:03+00:00,1.45E+18,"Happy Halloween!! 
#AnimalCrossing 
#ACNH #NintendoSwitch https://t.co/vZhmt7H9yj",Nintendo Switch Share,8,53,10/31/2021
2021-11-01 19:47:22+00:00,1.46E+18,I’m live on Twitch - Watch me at https://t.co/B3up6FLSWa A Big man plays Animal crossing…. Help #twitch… https://t.co/4V4tMZL8YC,Twitter for iPhone,8,13,11/1/2021
2021-11-04 17:40:35+00:00,1.46E+18,I love Kari and Kohane so much #AnimalCrossing #ACNH #NintendoSwitch https://t.co/Ms0SyPdsbs,Nintendo Switch Share,8,67,11/4/2021
2021-11-02 22:16:33+00:00,1.46E+18,"The flower picker’s house 🌷🧺

#ACNH #animalcrosisngnewhorizons #AnimalCrossing #ACNHDesigns https://t.co/fZEUrv5t0z",Twitter for iPhone,8,25,11/2/2021
2021-10-30 16:12:34+00:00,1.45E+18,"Bunn boi dressed as Isabelle for Halloween!🎃 🍭
#halloween2021 #furryart #AnimalCrossing https://t.co/tjfjTSjSe1",Twitter for iPad,8,38,10/30/2021
